Peak,Secondary Peak,Route Name,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,Phone Numbers
Mt. Adams,,Adams Glacier,D,7800,100,2,2,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,"The Adams Glacier is a more technical route on the NE side of the peak, with crevasses, seracs, and attendant routefinding challenges.  Be fit and move fast.",Climbs in the Cascades by Nelson and PotterfieldCascade Alpine Guide: Columbia River to Stevens PassÌÄåÎÌÄå__ by Fred Beckey,USFS Trout Lake Ranger District Office: 509-395-3400
Mt. Adams,,Mazama Glacier ,B,6700,100,2,2,summerautumn,TRUE,,35to50,FALSE,TRUE,Snow,"The Mazama Glacier route is a less crowded and slightly more technical (crevasses present) route than the standard South Side of Adams.  Be careful if you glissade - a twisted ankle here is a LOT more serious problem than on Hood.  Rather than descending the same way you climbed, a faster (an more fun!) way down can be to glissade (carefully) the normal south side route from the false summit to about 9600 feet, traverse to the western edge of the Mazama Glacier, then descend the last 1000 feet to camp.",Climbers Guide to the Cascade Volcanoes by Jeff Smoot Climbs in the North Cascades by Nelson and Potterfield Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,Trout Lake Ranger District Office: 509-395-3400
Mt. Adams,,South Side,A,6700,100,2,2,summerautumn,TRUE,,upto35,FALSE,FALSE,Snow,"The South Side route is a high, gentle climb great for beginning climbers who want an overnight trip with fewer people and a more wilderness feel than Hood.  There are no crevasses on this route.  Be careful if you glissade - a twisted ankle here is a LOT more serious problem than on Hood.  Skiers take note:  this route can have over a 6,000 foot vertical descent in early season!",Climbers Guide to the Cascade Volcanoes by Jeff Smoot Climbs in the North Cascades by Nelson and Potterfield Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,Trout Lake Ranger District Office: 509-395-3400
Mt. Aix,,Nelson Ridge,A,4400,203,4.5,1,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,"Mt. Aix is the dominant Cascades peak in the William O. Douglas Wilderness just east of Mt. Rainier National Park -- and ranks as the 39th most prominent peak in the Washington Cascades (7766' elevation). With a southwest exposure and located in Mt. Rainier's rain shadow, this peak is often accessible earlier in the season than many peaks of comparable height.  Great views of the surrounding Cascade peaks and often mountain goats. ","Cascade Alpine Guide, Volume I, Columbia River to Stevens Pass by Fred Beckey",Mt. Rainier NP: 360-569-2211
Mt. Anderson,,SE Couloir ,C,5721,190,3,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Snow,"To get to the summit of Anderson, you need to traverse heather slopes, snow fields, cross ridges and ascend 800 feet of a 3rd class gully as well as a snow slope from a high camp.   Good routefinding skills required!  Note:  there was extensive trail damage on this approach in 2001, and you should call ahead before you try this climb to be sure the route is open.  The approach hike to this peak is one of the longest in the NW, so you were warned.",Climbers Guide to the Olympic Mountains by Olympic Mountain Rescue;Climbing Washington's Mountains by Jeff Smoot,"Olympic National Forest, Quilcene Ranger District: 360-765-2200"
Mt. Angeles,,East Ridge,B,2100,245,5,1,springsummer,FALSE,3,upto35,FALSE,FALSE,Scramble,"Take the Hurricane Ridge Road for 10.1 miles past the National Park boundary (2.9 miles below the Visitors Center) where the road crosses a major couloir descending from the south side of the peak. Follow the Switchback trail up the right side of the creek to the Mt. Angeles-Hurricane Ridge Trail. Turn right and continue to the Klahane Saddle Ascend the south face in a NW direction over scree gullies / snow fields to the top of the East Ridge near the summit of the Middle Peak. Follow the ridge west over the Middle Peak (up to 3rd class Scramble). A large gap in the ridge below the summit requires a short, steep down climb to join the climber's trail from Hurricane Ridge. In early season this is ~ 35 degree snow; later in the season a 3rd class down climb that some climbers choose to rappel. Descent is made on the climber's trail down the north side of the peak, traversing to the west, then joining the Mt. Angles-Hurricane Ridge trail back to the Switchback trail.",Climbers Guide to the Olympic Mountains,Olympic NP Visitor Information 360-565-3130
Mt. Angeles,,Switchback Trail,A,2400,240,5,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Mount Angeles has several summits, of which the westernmost is the highest. This is a craggy peak with many routes to the top, but none of them is a walk-up. Moreover the rock is seriously loose in the big gullies. The easiest paths are scrambles, but only if you are a competent route finder through difficult terrain. ",75 Scrambles in Washington by Peggy Goldman,none
Mt. Angeles,,Hurricane/Klahhane Ridge,A,1200,240,5,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Mount Angeles has several summits, of which the westernmost is the highest. This is a craggy peak with many routes to the top, but none of them is a walk-up. Moreover the rock is seriously loose in the big gullies. The easiest paths are scrambles, but only if you are a competent route finder through difficult terrain. ",75 Scrambles in Washington by Peggy Goldman,none
Mt. Ararat,,Kautz Creek,A,4400,150,3,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Mt. Ararat and Mt. Satulick are peaks located on the west side of Mt. Rainier at the edge of Indian Henry's Hunting Ground. From the Kautz Creek trail head, follow the trail northward to approximately 5230', ascend a gully to the south ridge of Ararat, and scramble to the summit. Descend back to the Kautz Creek trail and continue northward to Indian Henry's Hunting Ground. Turn south on the Wonderland Trail and descend to Devil's Dream camp. Follow a bearing to 214 degrees southwest toward Satulick and follow easiest terrain to the summit. Descend Satulick to the Wonderland Trail and descend 6 miles back to the Longmire-Paradise Road. A car shuttle is necessary to return to the Kautz Creek trail head and pick up the car(s) left there.","Guide to 100 Peaks at Mt. RainierCascade Alpine Guide, Vol. 1",Mt. Rainier National Park: 360-569-2211
Mt. Arriva,,SW Ridge,B,5700,335,7,2,summerautumn,TRUE,4,35to50,FALSE,FALSE,Snow,"The approach starts on WA state route 20 at the Easy Pass Trailhead.  An elevation gain of about 3200 ft in 3 miles is followed by a loss of 1500 ft into the Fisher Creek drainage.  Two miles of off trail hiking, including a steep snow couloir, bring climbers to a bivi site at Silent lakes (elevation 7000) and an elevation gain of another 2000 ft.  A long climb day includes a traverse across the west face of Arriva to the SW ridge and a scramble up the ridge to the summit.  Descend the route.","Fred Beckey,Cascade Alpine Guide: Stevens Pass to Rainy Pass",none
Mt. Bailey,,Standard,A,3130,250,5,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Mt. Bailey is the ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢otherÌÄåÎÌÄå__ major peak in the Diamond Lake area; it's neighbor Mt. Thielsen sees more ascents.  Lying just west of Diamond Lake, Bailey has a steep 4.9 mile trail leading all the way to the top.  According to Sullivan, the final mile is full of surprises: a hidden crater, a rock garden of wildflowers, a double summit and a rock wall with a window overlooking Diamond Lake.",75 Scrambles in Oregon by Barbara Bond 100 Hikes in the Central Oregon Cascades by William Sullivan,Diamond Lake Ranger District Idleyld Park Oregon 97447 541-498-2531
Mt. Baker,,North Ridge,D,7000,310,8,2,summerautumn,TRUE,3,over50,FALSE,TRUE,Snow,"This is one of the classic lines on a classic NW peak.  Expect about 1,000 feet of moderate snow climbing up to about 50 degrees, then comes the fun part -  several pitches of near vertical alpine ice, then a stroll to the summit.  Descent is typically down the Coleman Deming route",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,Glacier Public Service Center: (360) 599-2714 
Mt. Baker,,Boulder-Park Cleaver,C,7900,300,6,2,summerautumn,TRUE,3,upto35,TRUE,TRUE,Snow,"Mt. Baker, named for the cartographer who sighted it for Captain George Vancouver in 1792, is known as ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢Koma LulshanÌÄåÎÌÄå__ to the Lummi tribe of Puget Sound, meaning broken or damaged.  The peak stands 15 miles south of the Canadian border and is the most northern most of the stratovolcanoes of the Cascade Range.  Mt. Baker is the third highest peak in Washington.","Climbs in the North Cascades, Vol. 2 by Nelson and PotterfieldCascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey",Glacier Public Service Center: (360) 599-2714
Mt. Baker,,Coleman Glacier Headwall,E,6900,310,8,2,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,"The Coleman Glacier Headwall qualifies as a classic Cascades volcano snow and ice route, on par with the Adams Glacier on Mt. Adams. The headwall is the climax of an impressive glacier system made up of both Coleman and Roosevelt Glaciers. Three and a half miles long, these glaciers run for 6,000 feet from snout to headwall, from just about 4,500 feet elevation to the summit. The ascent is straightforward if long, steep, and subject to the usual problems and hazards endemic to Cascades volcanoes: routefinding through crevasses, changeable snow and ice conditions, and exposure to unpredictable weather. ","Climbs in the Cascades, Volume II. Potterfield/Nelson.",US Forest Service/National Park Service Ranger Station in Sedro Wooley 360.856.5700 and Glacier Public Service Center in Glacier 360.599.2714.
Mt. Baker,,Park Glacier,C,6500,320,7,2,summerautumn,TRUE,,35to50,FALSE,TRUE,Rock,"From Nelson and Potterfield:  ""Off the beaten track, the Park Glacier boasts an exceptionally beautiful and variedÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄå´ÌâåÂif longÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄå´ÌâåÂapproach.  That characteristic makes this a rare wilderness experience among moderate routes on any Cascades volcano.  The route finishes with a narrow snow arÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌâå_te that is decidedly unlike most other glacier routes, further distinguishing this climb from others on Baker.  The Park Glacier is a route less traveled, reason enough to go, but it offers the alpinist exciting and varied terrain in the bargain.""  Routefinding can be tricky on this route.  Start early AM for best snow conditions.  Bring wands to mark the return route.  Mt. Baker set the US snowfall record in 1999 - 95 feet of snow in one year!",Climbs in the Cascades Vol. 2 by Nelson and PotterfieldCascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey ,USFS Mt. Baker Ranger Station: 206-856-5700
Mt. Baker,,Easton Glacier,B,7500,290,6,2,summerautumn,TRUE,,upto35,FALSE,TRUE,Snow,"Mt. Baker reclaimed the world record for single season snowfall in 1998-99 95 FEET, taking it from Rainier.  Next to Rainier, Baker is the most glaciated peak in the lower 48 states.  Easton is the most moderate route on the peak, and it's long with moderate crevasse danger.",Summit Guide to the Cascade Volcanoes by Jeff SmootClimbs in the North Cascades by Nelson and PotterfieldCascade Alpine Guide: Rainy Pass to Fraser RiverÌÄåÎÌÄå__ by Fred Beckey,Glacier Public Service Center: (360) 599-2714
Mt. Baker,,Coleman-Deming Glacier,C,7000,310,8,2,summerautumn,TRUE,,upto35,FALSE,TRUE,Snow,"Mt. Baker reclaimed the world record for single season snowfall in 1998-99 - 95 FEET, taking it from Rainier.  Next to Rainier, Baker is the most glaciated peak in the lower 48 states.  This is a fairly long route with moderate crevasse risk.  Camping on the edge of the Coleman Glacier is spectacular!  The lower camp is best, before you get onto the glacier.  Fit, small  teams can do this route car to car in a day.",Summit Guide to the Cascade Volcanoes by Jeff SmootClimbs in the North Cascades by Nelson and PotterfieldCascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,Glacier Public Service Center (360) 599-2714
Mt. Berge,Mt. Buck,Buck Creek Trail / High Pass,B,5200,300,6,2,summerautumn,FALSE,4,upto35,TRUE,FALSE,rockandsnow,Mt. Berge is a steep granite peak just east of the crest in the North Cascades.  It's lesser known due to it's sub-8000 ft. elevation.  ,Cascade Alpine Guide volume 2 by Fred Beckey,"Mt. Baker-Snoqualmie National Forest 425/775-9702North Cascades Natl Park Service Complex Headquarters & Mount Baker R.D. 810 State Route 20, Sedro Wooley, WA 98284 360/856-5700North Cascades Natl Park Complex Wilderness Info Center, 7280 Ranger Station Road, Marblemount, WA 98267 360/873-4500"
Mt. Blum,,South Ridge ,B,4800,300,6.5,2,summerautumn,TRUE,4,upto35,FALSE,FALSE,rockandsnow,"Mt. Blum is a mountain with a large mass for its altitude and big local relief. It is located 4 miles from Baker Lake and 7.5 miles SE of Mt. Shuksan. It is the most prominent mountain between Shuksan, Whitehorse Mt, and the Pickett Range. ",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,USFS Glacier Public Service Center: (360) 599-2714
Mt. Bretherton,,Lena Lakes,A,5300,175,3.5,2,summerautumn,FALSE,4,,FALSE,FALSE,Scramble,"Like a lot of Olympic Range climbs, this on has the shockingly low trailhead elevation of about 600 feet.  This is a moderate approach into beautiful alpine basins - the scenery is just a big a draw as the easy scramble climb.",Climbers Guide to the Olympic Mountains by Olympic Mountain Rescue,"Olympic National Park, 360-452-4501"
Mt. Buckindy,,North Side,C,6500,280,6,2,summerautumn,TRUE,4,upto35,FALSE,FALSE,Snow,Mount Buckindy is located at the head of Kindy Creek in the northern Washington Cascades. Glaciers are present on the mountain's north and east flanks. The standard summit route is a Class 4 scramble via the north slopes. The southwest ridge contains a series of jagged pinnacles (Buckindy Crags) that offer some Class 5 routes.,Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,not known
